date,open,high,low,close,volume
2024-07-05,1.13,1.18,1.13,1.15,80643
2024-07-08,1.2,1.24,1.16,1.24,120245
2024-07-09,1.24,1.26,1.19,1.25,104989
2024-07-10,1.25,1.29,1.23,1.26,117748
2024-07-11,1.27,1.345,1.25,1.27,216611
2024-07-12,1.27,1.55,1.27,1.43,736930
2024-07-15,1.4,1.46,1.34,1.44,235904
2024-07-16,1.43,1.6,1.4,1.5,577148
2024-07-17,1.44,1.51,1.35,1.405,231438
2024-07-18,1.4,1.44,1.31,1.32,121396
2024-07-19,1.3,1.38,1.25,1.25,189926
2024-07-22,1.24,1.303,1.21,1.25,128948
2024-07-23,1.275,1.38,1.27,1.37,79007
2024-07-24,1.35,1.4,1.32,1.32,91469
2024-07-25,1.29,1.46,1.28,1.34,172776
2024-07-26,1.34,1.38,1.3033,1.32,60924
2024-07-29,1.3,1.36,1.23,1.23,104044
2024-07-30,1.24,1.3069,1.24,1.28,39919
2024-07-31,1.28,1.4,1.2701,1.3,126399
2024-08-01,1.3,1.34,1.275,1.29,56027
2024-08-02,1.24,1.26,1.2115,1.22,77488
2024-08-05,1.15,1.18,1.06,1.16,126766
2024-08-06,1.19,1.23,1.13,1.16,103781
2024-08-07,1.15,1.18,1.1,1.11,98366
2024-08-08,1.14,1.17,1.03,1.11,70306
2024-08-09,1.11,1.14,1.03,1.03,80371
2024-08-12,1,1.07,1,1.03,173634
2024-08-13,1.03,1.0999,0.9971,0.9981,220188
2024-08-14,1,1.05,0.97,0.9865,192485
2024-08-15,1,1.02,0.9615,0.9876,80678
2024-08-16,0.99,1.02,0.97,0.9994,100300
2024-08-19,1.04,1.04,0.98,1,122287
2024-08-20,0.9995,1,0.99,0.9999,57822
2024-08-21,0.99,1.02,0.99,1.01,77406
2024-08-22,0.99,1.02,0.9654,0.9833,74898
2024-08-23,0.9919,1,0.9601,0.9799,243798
2024-08-26,0.9798,1.0197,0.9797,1.005,104652
2024-08-27,1,1.015,0.99,0.9982,58681
2024-08-28,0.98,1.01,0.98,0.9953,22799
2024-08-29,0.99,1.01,0.98,0.991,161042
2024-08-30,0.9901,1.08,0.9901,1.05,277959
2024-09-03,1.05,1.05,0.9728,0.9991,159908
2024-09-04,0.99,1,0.9613,0.9851,105071
2024-09-05,0.9773,1.01,0.9704,0.9855,50930
2024-09-06,1,1,0.9725,0.9845,22221
2024-09-09,0.97,0.98,0.9604,0.973,35623
2024-09-10,0.9521,0.98,0.9329,0.9773,77120
2024-09-11,0.93,0.9782,0.93,0.9599,16444
2024-09-12,0.955,0.960001,0.94,0.9447,31577
2024-09-13,0.96,0.969,0.93,0.949999,81188
2024-09-16,0.95,0.9639,0.91,0.9519,135873
2024-09-17,0.93,0.9517,0.9296,0.9429,83852
2024-09-18,0.94,0.9426,0.9109,0.9201,207909
2024-09-19,0.94,0.9695,0.94,0.9476,77476
2024-09-20,0.95,1.03,0.95,1.03,182818
2024-09-23,1.04,1.04,0.9699,1,56505
2024-09-24,0.999,1,0.9595,1,27707
2024-09-25,1.03,1.03,0.9303,0.9304,58419
2024-09-26,0.94,0.9896,0.9301,0.9547,13958
2024-09-27,0.96,1,0.9401,0.98,39154
2024-09-30,0.97,1.01,0.9547,0.9999,59963
2024-10-01,0.9988,1,0.9501,0.9799,55155
2024-10-02,0.975,1.03,0.975,0.9989,56883
2024-10-03,0.9522,0.99,0.9522,0.9605,22875
2024-10-04,0.9605,0.9999,0.9605,0.9928,26533
2024-10-07,1,1,0.959,0.99,33316
2024-10-08,0.98,0.98,0.852,0.9399,376158
2024-10-09,0.98,0.9899,0.9453,0.9453,17088
2024-10-10,0.96,0.98,0.9035,0.98,13398
2024-10-11,0.94,0.98,0.902,0.921,50798
2024-10-14,0.96,0.97,0.9,0.92,29262
2024-10-15,0.92,0.973,0.9001,0.96,23658
2024-10-16,0.96,0.965,0.9211,0.965,21042
2024-10-17,0.9473,0.963,0.902,0.93,29489
2024-10-18,0.95,0.95,0.9059,0.95,21571
2024-10-21,0.92,0.9651,0.92,0.96,114131
2024-10-22,0.95,0.97,0.9,0.9001,73027
2024-10-23,0.96,0.96,0.921,0.9499,32670
2024-10-24,0.97,0.97,0.9225,0.951,49928
2024-10-25,0.9375,0.97,0.9375,0.97,19789
2024-10-28,0.96,1,0.9295,0.9791,84939
2024-10-29,0.96,1,0.9053,0.981,148734
2024-10-30,1,1,0.93,0.94,41639
2024-10-31,0.9486,0.9768,0.92,0.97,35709
2024-11-01,0.9684,0.99,0.92,0.99,42785
2024-11-04,0.94,0.9508,0.92,0.95,58463
2024-11-05,0.95,0.9631,0.935,0.95,27185
2024-11-06,0.95,0.98,0.94,0.959,24548
2024-11-07,0.9303,0.959,0.8901,0.9,131639
2024-11-08,0.8703,0.92,0.825,0.825,134249
2024-11-11,0.852,0.9171,0.833601,0.872,53233
2024-11-12,0.9,0.92,0.884552,0.9199,90045
2024-11-13,0.92,0.92,0.8801,0.8801,57773
2024-11-14,0.88,0.895001,0.8402,0.851,607032
2024-11-15,0.825,0.8982,0.8,0.85,599014
2024-11-18,0.855,0.8579,0.845,0.8499,665617
2024-11-19,0.84,0.88,0.84,0.85,344088
2024-11-20,0.87,0.87,0.845,0.86,249194
2024-11-21,0.877,0.92,0.8511,0.8743,198458
2024-11-22,0.92,0.92,0.88,0.903,96673
2024-11-25,0.8814,0.915,0.8814,0.888,105179
2024-11-26,0.8821,0.909,0.842,0.865,540419
2024-11-27,0.93,0.9899,0.92,0.9601,1235394.0
2024-11-29,1,1,0.9353,0.95,421415
2024-12-02,0.95,0.9903,0.931,0.9737,365340
2024-12-03,0.96,0.982001,0.8925,0.8995,582559
2024-12-04,0.9075,0.95,0.9,0.9401,181222
2024-12-05,1.01,1.06,0.97,1.02,1349745.0
2024-12-06,1.01,1.06,1.01,1.02,325514
2024-12-09,1.03,1.08,1.0295,1.07,269103
2024-12-10,1.09,1.09,1.02,1.05,153161
2024-12-11,1.08,1.08,1.015,1.02,159255
2024-12-12,1,1.0298,0.985,1,185311
2024-12-13,0.99,1,0.97,0.9799,294694
2024-12-16,0.97,1.03,0.921,0.96,392490
2024-12-17,0.95,0.983,0.9301,0.9563,332265
2024-12-18,0.97,1.01,0.9416,0.95,217867
2024-12-19,0.95,0.9881,0.91,0.9281,295718
2024-12-20,0.9199,0.97,0.9199,0.9579,78784
2024-12-23,0.95,0.959,0.93,0.95,110177
2024-12-24,0.96,0.96,0.93,0.9499,30048
2024-12-26,0.95,0.95,0.899,0.92,1509015.0
2024-12-27,0.91,0.9614,0.8902,0.94,1259429.0
2024-12-30,0.91,0.97,0.9,0.967,179816
2024-12-31,0.9,0.966,0.8993,0.95,337890
2025-01-02,0.9668,0.99,0.9403,0.9701,30631
2025-01-03,0.9799,1.01,0.95,1,202563
2025-01-06,1,1,0.9574,0.9713,251371
2025-01-07,0.96,1.0199,0.96,1.005,180152
2025-01-08,0.9932,0.9932,0.9501,0.985,223073
2025-01-10,0.98,0.9809,0.926,0.9564,271143
2025-01-13,0.95,0.9647,0.9165,0.9503,228032
2025-01-14,0.95,0.9953,0.9387,0.98,205761
2025-01-15,0.95,1,0.95,0.98,49949
2025-01-16,0.99,1.019,0.9642,1.01,142418
2025-01-17,1.01,1.02,0.99,0.9906,43891
2025-01-21,0.99,1.03,0.9504,0.9902,210837
2025-01-22,1,1.02,0.9506,1,375893
2025-01-23,0.99,1.09,0.99,1.07,585674
2025-01-24,1.06,1.07,1.035,1.04,341422
2025-01-27,1.04,1.05,1.02,1.025,354074
2025-01-28,1.02,1.045,1.02,1.02,224690
2025-01-29,1.0214,1.0325,0.9885,1.02,137777
2025-01-30,1.03,1.04,1,1.035,149997
2025-01-31,1.04,1.04,0.995,1.01,144355
2025-02-03,0.98,1.01,0.96,0.9789,440809
2025-02-04,0.9716,1.005125,0.971,0.9908,179052
2025-02-05,0.99,1.03,0.9752,1,138335
2025-02-06,1.02,1.02,0.96,0.99,113522
2025-02-07,0.97,1,0.96,0.97,248676
2025-02-10,0.97,0.995,0.94,0.9475,399601
2025-02-11,0.95,0.98,0.924,0.9678,235727
2025-02-12,0.96,0.9949,0.96,0.9701,67693
2025-02-13,0.99,1.02,0.96,1.02,233789
2025-02-14,1.03,1.03,1,1.02,98607
2025-02-18,1.02,1.03,0.9799,1.02,151608
2025-02-19,1.02,1.04,1.02,1.02,58538
2025-02-20,1.03,1.04,0.9696,1.02,408353
2025-02-21,1.03,1.03,0.982,1,392257
2025-02-24,0.99,1.025,0.962,0.9775,173917
2025-02-25,0.9697,0.998,0.9697,0.9775,108888
2025-02-26,0.97,1.0163,0.97,0.9751,83965
2025-02-27,0.99,1.0036,0.954,0.9625,84708
2025-02-28,0.955,1,0.955,0.98,51497
