date,open,high,low,close,volume
2024-10-22,9.99,10.01,9.98,9.99,9835510.0
2024-10-23,9.99,10,9.99,9.99,587429
2024-10-24,10,10,9.98,9.98,314537
2024-10-25,9.9814,10,9.98,9.99,82930
2024-10-28,10.01,10.01,9.98,9.98,15124
2024-10-29,10,10,9.98,10,331122
2024-10-30,9.98,10,9.98,9.99,34561
2024-10-31,9.99,9.9904,9.99,9.99,1876
2024-11-01,10,10,9.98,9.99,59535
2024-11-04,9.99,10,9.99,9.99,44330
2024-11-05,10,10,9.98,9.98,12043
2024-11-06,10,10,9.98,9.98,401
2024-11-07,9.9906,9.9906,9.99,9.99,680
2024-11-11,9.9891,9.995,9.98,9.99,155328
2024-11-12,9.98,9.995,9.98,9.99,2418
2024-11-13,9.99,9.99,9.99,9.99,532
2024-11-14,10,10,9.98,10,2875
2024-11-15,9.985,10,9.98,10,50391
2024-11-18,10,10,9.98,9.98,895
2024-11-19,9.98,9.99,9.9749,9.98,18751
2024-11-20,9.99,10.01,9.98,10.01,206206
2024-11-21,10.01,10.01,10,10,304277
2024-11-22,10,10.0186,10,10.0186,9637
2024-11-25,10.01,10.01,10.01,10.01,211
2024-11-26,10.0028,10.0028,10.0028,10.0028,365
2024-11-27,10,10.01,9.99,9.99,159967
2024-11-29,10,10.005,9.99,9.99,109349
2024-12-02,9.99,10,9.99,10,585539
2024-12-03,10,10,9.99,10,362279
2024-12-04,9.99,10,9.99,10,234418
2024-12-05,10,10,9.99,10,793734
2024-12-06,10,10.005,9.99,10,457894
2024-12-09,9.99,10,9.99,9.99,1560
2024-12-10,9.995,9.995,9.98,9.99,61473
2024-12-11,9.99,10.01,9.99,10.01,44803
2024-12-12,9.9994,10.007,9.99,10.007,55960
2024-12-13,10.02,10.0301,10.01,10.03,28800
2024-12-16,10.03,10.08,10.0217,10.03,17002
2024-12-17,10.05,10.05,10.02,10.02,7587
2024-12-18,10.035,10.05,10.035,10.05,202
2024-12-19,10.03,10.05,10.03,10.04,2878
2024-12-20,10.0228,10.05,10.0228,10.03,103666
2024-12-23,10.04,10.04,10.03,10.04,352
2024-12-24,10.05,10.055,10.05,10.05,17966
2024-12-26,10.04,10.0415,10.04,10.0415,218
2024-12-27,10.06,10.21,10.04,10.06,38967
2024-12-30,10.1,11.46,10.09,10.1,10870
2024-12-31,10.08,10.08,10.06,10.06,3357
2025-01-02,10.06,10.06,10.04,10.04,1003
2025-01-03,10.04,10.04,10.04,10.04,200
2025-01-06,10.08,10.08,10.08,10.08,221
2025-01-07,10.08,10.08,10.0455,10.0455,1445
2025-01-08,10.07,10.07,10.07,10.07,105
2025-01-10,10.0522,10.07,10.0522,10.07,346
2025-01-13,10.061,10.061,10.061,10.061,742
2025-01-14,10.0598,10.07,10.0598,10.07,554
2025-01-15,10.07,10.07,10.07,10.07,903
2025-01-16,10.08,10.09,10.08,10.09,902
2025-01-17,10.09,10.12,10.09,10.12,3021
2025-01-21,10.1,10.1,10.1,10.1,1262
2025-01-22,10.15,10.15,10.15,10.15,252
2025-01-27,10.1499,10.1499,10.1499,10.1499,900
2025-01-29,10.09,10.12,10.09,10.12,450
2025-01-30,10.09,10.11,10.09,10.11,6657
2025-02-03,10.14,10.14,10.14,10.14,130
2025-02-04,10.0901,10.12,10.09,10.12,18547
2025-02-05,10.1,10.1152,10.1,10.1152,1774
2025-02-06,10.1,10.1,10.1,10.1,350
2025-02-07,10.1279,10.1279,10.1,10.1,1211
2025-02-10,10.1,10.1126,10.1,10.1126,356
2025-02-11,10.1,10.1152,10.1,10.1152,310
2025-02-12,10.12,10.15,10.12,10.1399,4453
2025-02-13,10.15,10.15,10.13,10.15,2624
2025-02-19,10.1401,10.15,10.13,10.15,2793
2025-02-20,10.1321,10.15,10.1321,10.15,1027
2025-02-21,10.15,10.1753,10.15,10.155,4987
2025-02-24,10.2,10.2,10.17,10.17,5271
2025-02-25,10.1802,10.1802,10.16,10.1802,1001
2025-02-26,10.16,10.2,10.16,10.2,2350
2025-02-28,10.16,10.29,10.16,10.29,3288
