date,open,high,low,close,volume
2024-03-01,3.01,3.05,2.89,3.03,30531
2024-03-04,3.02,3.1,2.9688,3.03,54898
2024-03-05,2.92,3.06,2.86,3.01,8119
2024-03-06,2.87,3.06,2.86,3.01,12036
2024-03-07,2.92,3.06,2.92,3.05,6940
2024-03-08,3.01,3.05,2.92,3.01,16354
2024-03-11,2.97,3.06,2.97,3.02,13938
2024-03-12,3.01,3.05,3,3.02,4952
2024-03-13,2.965,3.06,2.94,3.05,15481
2024-03-14,3,3.03,3,3.01,7656
2024-03-15,3.03,3.1,3.01,3.01,6113
2024-03-18,3.01,3.02,2.99,2.99,5304
2024-03-19,3.01,3.05,2.75,3.01,150563
2024-03-20,3.01,3.09,2.7,2.86,241621
2024-03-21,2.78,2.88,2.64,2.8546,107701
2024-03-22,2.8,2.99,2.6,2.66,61968
2024-03-25,2.56,2.7,2.38,2.41,75146
2024-03-26,2.2801,2.45,2.07,2.4425,38184
2024-03-27,2.5,2.5,2.12,2.24,112725
2024-03-28,2.3393,2.47,2.28,2.47,51504
2024-04-01,2.56,2.56,2.14,2.23,181667
2024-04-02,2.14,2.23,2.03,2.21,230735
2024-04-03,2.18,2.18,1.83,1.9,51973
2024-04-04,1.88,2.27,1.65,2.21,639187
2024-04-05,2.05,2.43,1.81,2.42,417953
2024-04-08,2.28,2.3627,2,2.2,287588
2024-04-09,2.06,2.2101,2.025,2.21,150602
2024-04-10,2.12,2.24,2.06,2.21,119569
2024-04-11,2.16,2.16,2.01,2.03,79155
2024-04-12,2.035,2.15,1.905,1.9706,117518
2024-04-15,2.03,2.06,1.84,1.88,93391
2024-04-16,1.91,1.91,1.75,1.79,88210
2024-04-17,1.8,1.836,1.72,1.725,54155
2024-04-18,1.6914,1.78,1.68,1.685,62993
2024-04-19,1.69,1.74,1.61,1.61,74116
2024-04-22,1.6406,1.65,1.595,1.61,43612
2024-04-23,1.6,1.6498,1.58,1.6,68626
2024-04-24,1.58,1.68,1.55,1.569,24604
2024-04-25,1.551,1.84,1.55,1.67,74797
2024-04-26,1.64,1.65,1.56,1.59,51602
2024-04-29,1.53,1.63,1.42,1.42,64455
2024-04-30,1.37,1.62,1.182,1.37,19404
2024-05-01,1.2,1.58,1.2,1.36,10271
2024-05-02,1.36,1.6,1.35,1.52,4730
2024-05-03,1.48,1.48,1.44,1.44,790
2024-05-06,1.45,1.47,1.44,1.44,6403
2024-05-07,1.461,1.65,1.461,1.6,4160
2024-05-08,1.51,1.5995,1.45,1.58,2660
2024-05-09,1.3999,1.65,1.34,1.6,19133
2024-05-10,1.5,1.61,1.4801,1.56,4551
2024-05-13,1.6104,1.6104,1.54,1.56,2559
2024-05-14,1.605,1.605,1.54,1.55,3286
2024-05-15,1.595,1.98,1.595,1.67,14767
2024-05-16,1.66,1.92,1.6001,1.63,14402
2024-05-17,1.6732,1.8818,1.6732,1.8072,13683
2024-05-20,1.72,1.96,1.7,1.7,2511
2024-05-21,1.745,1.81,1.745,1.81,1909
2024-05-22,1.8,1.8,1.63,1.63,1914
2024-05-23,1.64,1.65,1.46,1.49,42061
2024-05-24,1.49,1.55,1.35,1.5,43657
2024-05-28,1.6,1.64,1.38,1.38,37759
2024-05-29,1.36,1.37,1.23,1.24,32713
2024-05-30,1.28,1.33,0.67,1.1,49217
2024-05-31,1.1117,1.1999,0.8582,1.12,8978
2024-06-03,1.16,1.26,1.05,1.08,22223
2024-06-04,0.97,1.35,0.97,1.13,6504
2024-06-05,1.22,1.36,1.18,1.19,4946
2024-06-06,1.13,1.28,1.13,1.28,1275
2024-06-07,1.05,1.27,1.05,1.26,11435
2024-06-10,1.14,1.23,1.1,1.1,2116
2024-06-11,1.2453,1.25,1.05,1.22,3290
2024-06-12,1.18,1.18,1.12,1.12,1799
2024-06-13,1.07,1.07,1.06,1.06,1111
2024-06-14,1.095,1.095,1.02,1.02,1009
2024-06-17,1.04,1.15,1.04,1.07,4453
2024-06-18,1.075,1.075,1.02,1.02,48918
2024-06-20,1.07,1.07,0.998,1.01,37570
2024-06-21,0.99,1.07,0.99,1.07,5395
2024-06-24,1.11,1.1199,0.9832,0.986,1742
2024-06-26,0.97,0.9863,0.95,0.96,3708
2024-06-27,0.91,1.05,0.91,0.925,5485
2024-06-28,0.9403,0.9403,0.9251,0.9301,3426
2024-07-01,0.935,1.05,0.935,1.05,2571
2024-07-02,1.05,1.13,1.03,1.13,20427
2024-07-03,1.19,1.19,1.05,1.09,7606
2024-07-05,1.09,1.12,1.05,1.08,6681
2024-07-08,1.0699,1.14,1.0699,1.13,4277
2024-07-09,1.13,1.13,1.13,1.13,1431
2024-07-10,1.1,1.17,1.1,1.17,1575
2024-07-11,1.2,1.26,1.19,1.19,2991
2024-07-12,1.19,1.22,1.12,1.132,3072
2024-07-15,1.21,1.358,1.18,1.19,11465
2024-07-16,1.19,1.32,1.19,1.2,2239
2024-07-17,1.15,1.265,1.15,1.265,636
2024-07-18,1.36,1.43,1.11,1.14,8060
2024-07-19,1.45,1.45,1.09,1.1,19003
2024-07-22,1.1,1.27,1.0915,1.2,8636
2024-07-23,1.25,1.28,1.16,1.16,81002
2024-07-24,1.2,1.21,1.15,1.2,38791
2024-07-25,1.23,1.26,1.15,1.21,14641
2024-07-26,1.2,1.2,1.18,1.18,11914
