date,open,high,low,close,volume
2024-09-06,9.96,9.99,9.96,9.96,12875303.0
2024-09-09,9.97,9.99,9.96,9.975,1048148.0
2024-09-10,9.99,9.99,9.98,9.98,445999
2024-09-11,9.98,10,9.98,10,189271
2024-09-12,9.98,9.99,9.972,9.972,18892
2024-09-13,9.98,9.99,9.98,9.99,56432
2024-09-16,9.99,10,9.99,10,1736
2024-09-17,9.9814,10,9.9814,10,6248
2024-09-18,10.01,10.01,10.01,10.01,602
2024-09-19,9.9903,10.01,9.9901,9.9901,1782
2024-09-20,10,10,9.995,9.995,14220
2024-09-23,10,10,9.99,10,5416
2024-09-24,9.99,10,9.99,10,1793
2024-09-25,10,10,10,10,1200
2024-09-26,9.99,10.01,9.99,10,2001
2024-09-27,10.01,10.01,10.01,10.01,5650
2024-09-30,10.003,10.003,9.99,10,348587
2024-10-01,10.01,10.02,10.01,10.01,680892
2024-10-02,10.01,10.02,10.01,10.01,282148
2024-10-03,10,10.01,10,10.01,1118
2024-10-04,10.01,10.02,10.01,10.02,105954
2024-10-07,10,10.02,10,10.01,108564
2024-10-08,10,10,10,10,154
2024-10-09,10,10.02,9.99,10.01,9219
2024-10-10,10,10,10,10,224
2024-10-11,10.02,10.02,10.01,10.01,25278
2024-10-14,10.01,10.01,10,10,3011
2024-10-15,10.01,10.01,10.01,10.01,326
2024-10-16,10,10.02,10,10.02,538
2024-10-17,10.01,10.01,10.01,10.01,382
2024-10-18,10.02,10.02,10.01,10.02,291111
2024-10-21,10,10,10,10,202
2024-10-22,10.02,10.02,10.02,10.02,53322
2024-10-23,10.02,10.02,10.02,10.02,290
2024-10-24,10,10.0024,10,10.0024,102505
2024-10-28,10.03,10.03,10.03,10.03,1089
2024-10-29,10.02,10.03,10.02,10.03,2901
2024-10-30,10.02,10.02,10.01,10.02,26218
2024-10-31,10.03,10.03,10.02,10.02,116630
2024-11-01,10.02,10.02,10.02,10.02,99949
2024-11-06,10.03,10.03,10.03,10.03,30000
2024-11-08,10.0279,10.04,10.0279,10.04,600
2024-11-11,10.03,10.03,10.03,10.03,121
2024-11-12,10.03,10.03,10.03,10.03,1524
2024-11-13,10.04,10.04,10.035,10.04,1469
2024-11-14,10.1159,10.2,10.03,10.2,4814
2024-11-15,10.0823,10.17,10.05,10.05,3280
2024-11-18,10.17,10.17,10.16,10.16,284
2024-11-19,10.0978,10.0978,10.0501,10.0501,1670
2024-11-20,10.1162,10.1162,10.0805,10.1105,500
2024-11-27,10.06,10.06,10.06,10.06,310
2024-11-29,10.06,10.06,10.05,10.06,103798
2024-12-03,10.06,10.06,10.06,10.06,228
2024-12-05,10.06,10.11,10.06,10.0601,1765
2024-12-09,10.06,10.06,10.06,10.06,1012
2024-12-10,10.06,10.06,10.06,10.06,1000
2024-12-11,10.06,10.16,10.06,10.16,6378
2024-12-12,10.07,10.07,10.07,10.07,206
2024-12-13,10.07,10.07,10.07,10.07,1764
2024-12-17,10.07,10.09,10.07,10.09,347
2024-12-18,10.07,10.09,10.07,10.09,855
2024-12-19,10.09,10.09,10.09,10.09,691
2024-12-23,10.13,10.13,10.13,10.13,530
2024-12-24,10.09,10.09,10.09,10.09,104
2024-12-26,10.09,10.09,10.09,10.09,162
2024-12-30,10.09,10.09,10.09,10.09,168
2025-01-06,10.09,10.09,10.09,10.09,244
2025-01-08,10.1144,10.1144,10.11,10.11,2017
2025-01-14,10.1232,10.1232,10.1232,10.1232,950
2025-01-16,10.11,10.11,10.11,10.11,115
2025-01-21,10.11,10.11,10.11,10.11,393
2025-01-22,10.11,10.11,10.11,10.11,127
2025-01-23,10.11,10.14,10.11,10.14,3900
2025-01-24,10.125,10.24,10.11,10.12,4584
2025-01-27,10.11,10.2,10.11,10.16,3973
2025-01-28,10.13,10.15,10.13,10.1489,34078
2025-01-29,10.14,10.3,10.0945,10.2,28131
2025-01-30,10.83,10.99,10.06,10.15,13980
2025-01-31,10.25,10.38,10.05,10.19,42177
2025-02-03,10.28,10.43,10.05,10.3,21711
2025-02-04,10.3,10.34,10.06,10.23,12107
2025-02-05,10.25,10.34,10.06,10.1599,5564
2025-02-06,10.3,10.3,10.15,10.22,980
2025-02-07,10.3,10.38,10.1095,10.1599,6830
2025-02-10,10.14,10.16,10.095,10.16,2653
2025-02-11,10.3,10.36,10.14,10.1999,7042
2025-02-12,10.3,10.4,10.175,10.2,3250
2025-02-13,10.3,10.38,10.1747,10.38,4479
2025-02-20,10.25,10.32,10.195,10.32,1731
2025-02-21,10.2,10.36,10.185,10.32,2730
2025-02-24,10.3,10.34,10.2,10.34,767
2025-02-25,10.29,10.32,10.1797,10.32,2937
2025-02-26,10.28,10.3,10.2094,10.22,2343
2025-02-27,10.28,10.3,10.2199,10.2199,2407
2025-02-28,10.32,10.4,10.2,10.31,2004
