date,open,high,low,close,volume
2024-03-07,10.26,10.26,10.26,10.26,100
2024-03-08,10.3,10.3,10.3,10.3,100
2024-03-11,10.3,10.3,10.28,10.28,355
2024-03-12,10.2,10.26,10.2,10.26,6000
2024-03-14,10.1,10.3,10.1,10.3,1600
2024-03-18,10.29,10.3,10.29,10.3,1591
2024-03-20,10.3,10.3,10.3,10.3,26507
2024-03-26,10.19,10.19,10.19,10.19,138
2024-04-01,10.18,10.18,10.18,10.18,205
2024-04-02,10.19,10.19,10.19,10.19,3803
2024-04-04,10.2376,10.2376,10.2376,10.2376,2500
2024-04-09,10.25,10.28,10.25,10.28,3862
2024-04-11,10.3,10.3,10.3,10.3,300
2024-04-15,10.25,10.25,10.25,10.25,2000
2024-04-23,10.27,10.27,10.27,10.27,101
2024-04-24,10.27,10.27,10.27,10.27,100
2024-04-25,10.29,10.29,10.29,10.29,100
2024-04-26,10.31,11.5,10.27,10.27,1963
2024-05-07,10.36,10.36,10.36,10.36,100
2024-05-08,10.32,10.32,10.32,10.32,100
2024-05-09,10.33,10.33,10.33,10.33,100
2024-05-10,10.33,10.33,10.33,10.33,100
2024-05-13,10.27,10.27,10.27,10.27,100
2024-05-14,10.28,10.28,10.28,10.28,100
2024-05-15,10.28,10.28,10.28,10.28,100
2024-05-16,10.29,10.29,10.29,10.29,100
2024-05-17,10.45,11.5,10.45,11.39,3552
2024-05-30,10.41,10.41,10.41,10.41,200
2024-06-07,10.35,10.35,10.35,10.35,102
2024-06-10,10.35,10.35,10.35,10.35,103
2024-06-11,10.35,10.35,10.35,10.35,150
2024-06-12,10.35,10.35,10.35,10.35,100
2024-06-13,10.35,10.35,10.35,10.35,100
2024-06-14,10.35,10.35,10.35,10.35,100
2024-06-17,10.36,10.36,10.36,10.36,100
2024-06-18,10.32,10.32,10.32,10.32,820
2024-06-25,10.42,10.42,10.42,10.42,101
2024-07-03,10.43,10.43,10.43,10.43,102
2024-07-12,10.44,10.44,10.44,10.44,100
2024-07-15,10.44,10.44,10.44,10.44,100
2024-07-16,10.46,10.46,10.46,10.46,100
2024-07-17,10.44,10.44,10.44,10.44,100
2024-07-18,10.46,10.46,10.46,10.46,100
2024-07-19,10.46,10.46,10.46,10.46,100
2024-07-22,10.46,10.46,10.46,10.46,100
2024-07-23,10.46,10.46,10.46,10.46,100
2024-07-24,10.46,10.46,10.46,10.46,100
2024-07-25,10.47,10.47,10.47,10.47,100
2024-07-26,10.47,10.47,10.47,10.47,100
2024-07-29,10.45,10.47,10.45,10.47,624
2024-08-05,10.49,10.49,10.49,10.49,129
2024-08-13,10.6,10.6,10.48,10.48,301
2024-08-16,10.6,10.6,10.51,10.51,400
2024-08-21,10.6,10.6,10.52,10.52,200
2024-08-30,10.51,10.51,10.51,10.51,100
2024-09-03,10.52,10.52,10.52,10.52,100
2024-09-04,10.51,10.51,10.51,10.51,100
2024-09-05,10.51,10.51,10.44,10.45,270200
2024-09-06,10.43,10.43,10.43,10.43,150
2024-09-18,10.31,10.55,10.31,10.51,1300
2024-09-20,10.69,10.9,10.69,10.9,401
2024-11-06,10.9,11.1,10.79,10.8,6401
2024-11-08,10.71,10.75,10.7,10.75,2600
2024-11-13,10.7,10.8,10.7,10.8,4078
2024-12-06,11.1,11.1,11.1,11.1,100
2024-12-17,10.91,10.91,10.91,10.91,100
2025-01-08,10.81,10.81,10.81,10.81,206
2025-01-23,11.03,11.03,10.81,10.99,3853
2025-01-24,10.91,10.91,10.9,10.902,701
2025-01-27,10.98,11,10.98,11,200
2025-01-28,10.82,10.82,10.82,10.82,111
